﻿主播ID,主播昵称,抖音号,抖音号（原）,火山号,火山号（原）,粉丝数,上次开播时间,签约类型,运营经纪人,招募经纪人,首播时间,入会时间,西瓜号,备注,分成比-直播音浪收益,视频个播有效天,开播总时长,开播有效时长,涨粉,人气峰值,feed看播时长,作品数,视频播放量,视频点赞量,视频评论量,feed_acu,主播标签
73141522039,大话西游怀旧至尊宝,1484769679,1484769679,1131818197,1131818197,7749,1小时前,普通主播,星河计划-进阶,怀旧服,2024-01-13,2025-05-09,-,7村-免费版,50,1,1小时41分钟24秒,1小时41分钟24秒,51,103,61小时20分钟12秒,2,69808,444,125,36,
119200389008008,大话五舅,66206121975,66206121975,66206121975,66206121975,2547,14小时前,普通主播,星河计划,怀旧服,2025-01-13,2025-02-04,-,28村-免费版,50,1,14小时49分钟8秒,14小时49分钟8秒,19,37,61小时11分钟53秒,2,3660,5,4,4,
1187083046361997,大话2锐不可挡,songjita,3932781681,songjita,3689736556,24601,3小时前,普通主播,星河计划-进阶,星河计划-进阶,2024-02-14,2023-11-18,-,3村,50,1,5小时24分钟51秒,5小时24分钟51秒,82,48,59小时25分钟19秒,3,110672,597,383,11,
100674950044,大话西游2扫地僧,chenshijin920512,1546291268,chenshijin920512,1722065961,7299,8小时前,普通主播,星河计划二十四期,星河计划,2020-01-06,2025-11-06,-,23村,50,1,14小时20分钟11秒,14小时20分钟11秒,19,35,59小时17分钟41秒,0,1134,5,0,4,
2889988156166516,大话西游2小飞,65187680153,65187680153,65187680153,65187680153,5985,1日前,普通主播,情义计划,怀旧服,2024-12-30,2025-01-10,-,免费版,50,1,3小时17分钟44秒,3小时8分钟4秒,8,165,58小时24分钟20秒,0,350,0,0,19,
2484530009877251,大话2绝言。,Wxb19960101,3443806024,Wxb19960101,3202122671,2869,1日前,普通主播,星河计划-进阶,免费版,2023-08-09,2025-02-25,-,7村-免费版,50,1,2小时38分钟59秒,2小时38分钟59秒,2,48,54小时23分钟51秒,0,59,0,0,21,
915243115751728,大话西游2林朵朵,linduoduoyyds,4200140059,linduoduoyyds,3953367031,17055,3小时前,普通主播,情义计划,,2022-05-29,2023-10-27,-,,50,1,3小时4分钟55秒,3小时4分钟55秒,10,178,53小时47分钟17秒,1,5870,43,8,17,
3492500245851896,大伦,94563369223,94563369223,94563369223,94563369223,3926,1日前,普通主播,星河计划,星河计划,2024-06-04,2024-05-30,-,30村,50,1,7小时45分钟53秒,7小时45分钟17秒,8,32,53小时39分钟52秒,0,295,0,0,7,
109184271336,大话西游2习惯有你,1853221659,1853221659,1039479082,1039479082,8591,18小时前,普通主播,星河计划-进阶,星河计划,2024-10-27,2024-10-30,-,8村,50,1,2小时17分钟11秒,2小时17分钟11秒,12,62,51小时44分钟41秒,1,48436,95,63,23,
104407354445,頑酷游戏,45445006608,1471816257,45445006608,1557187161,20387,0小时前,普通主播,情义计划,怀旧服,2022-11-07,2023-07-13,-,*免费版,50,1,2小时47分钟27秒,2小时47分钟27秒,15,84,50小时42分钟44秒,1,21619,129,40,18,
